# Bornomala Bangla phonetic-key index: ambiguity-collapsed roman key -> Bangla words.
# Built from bn_frequency.txt. Phonetic input (e.g. 'chara') resolves to real words
# (ছাড়া, চারা ...) ranked by frequency. Format: key<TAB>w1 w2 ... (best-first).
a	আ আঃ
pransisk	ফ্রান্সিসকো
prant	প্রান্ত
prante	প্রান্তে
prapj	প্রাপ্য
prapt	প্রাপ্ত
prar	পড়ার পরার
prarti	প্রার্থী
prartna	প্রার্থনা
prartnar	প্রার্থনার
prasad	প্রাসাদ
prasade	প্রাসাদে
prasader	প্রাসাদের
prasi	ফরাসি ফরাসী
prasna	পড়াশোনা
prasngik	অপ্রাসঙ্গিক
prast	পরাস্ত
prastr	পররাষ্ট্র
prasuna	পড়াশুনা
pratmik	প্রাথমিক
pray	প্রায়
prayi	প্রায়ই
prayscit	প্রায়শ্চিত্ত
prb	পড়বো পর্ব পরবো পড়ব পরব প্রোব
prbab	প্রভাব
prbabit	প্রভাবিত
prbad	প্রবাদ
prbah	প্রবাহ
prbahit	প্রবাহিত
prbe	পড়বে পরবে
prben	পড়বেন
prbes	প্রবেশ
prbesdbar	প্রবেশদ্বার
prbeser	প্রবেশের
prbl	প্রবল
prbriti	প্রবৃত্তি
prbrti	পরবর্তী
prbrtite	পরবর্তীতে
prbt	পর্বত
prbte	পর্বতে
prbter	পর্বতের
prbu	প্রভু
prbur	প্রভুর
prc	পড়ছ
prcar	প্রচার
prce	পড়ছে পরছে
prcesta	প্রচেষ্টা
prci	পড়ছি পরছি
prclit	প্রচলিত
prcnd	প্রচন্ড প্রচণ্ড
prcuna	ফরচুনা
prcur	প্রচুর
prd	ফ্রোডো ফর্ড ফোর্ড
prda	পর্দা
prdan	প্রধান প্রদান
prdaner	প্রধানের
prdanmntri	প্রধানমন্ত্রী
prdanmntrir	প্রধানমন্ত্রীর
prdar	পর্দার
prdes	প্রদেশ
prdin	পরদিন
prdrsn	প্রদর্শন
prdrsni	প্রদর্শনী
prdrsnir	প্রদর্শনীর
prdt	প্রদত্ত
pre	পরে পড়ে ওপরে পরেও
prec	পড়েছ পরেছ পড়েছো
prece	পড়েছে পরেছে
precen	পড়েছেন
preci	পড়েছি পরেছি
precil	পড়েছিল পড়েছিলো
precilam	পড়েছিলাম পরেছিলাম
precile	পড়েছিলে
pred	ফ্রেড
predi	ফ্রেডি
pregnjant	প্রেগন্যান্ট
prei	পরেই পড়েই
prem	প্রেম ফ্রেম
preme	প্রেমে
premer	প্রেমের
premik	প্রেমিক
premika	প্রেমিকা
premikake	প্রেমিকাকে
premikar	প্রেমিকার
premiker	প্রেমিকের
pren	পড়েন পরেন
prenc	ফ্রেঞ্চ
prend	ফ্রেন্ড
preni	পড়েনি
prensik	ফরেনসিক
prer	পরের অপরের
prerbar	পরেরবার
prern	প্রেরণ
prerna	প্রেরণা
prerta	পরেরটা
pres	প্রেস ফ্রেশ
presar	প্রেসার
preser	প্রেসের
president	প্রেসিডেন্ট
presidenter	প্রেসিডেন্টের
presidentke	প্রেসিডেন্টকে
prest	ফরেস্ট
prestn	প্রেস্টন
pret	প্রেত
pretatma	প্রেতাত্মা
prgram	প্রোগ্রাম
prgrame	প্রোগ্রামে
prgramer	প্রোগ্রামের
prhad	ফরহাদ
prhri	প্রহরী
prhrider	প্রহরীদের
pri	পড়ি পরী ফ্রি পরই পরি
pribar	পরিবার
pribare	পরিবারে
pribarer	পরিবারের
pribarke	পরিবারকে
pribes	পরিবেশ
pribese	পরিবেশে
pribeser	পরিবেশের
pribesn	পরিবেশন
pribhn	পরিবহন
pribrte	পরিবর্তে
pribrtit	পরিবর্তিত
pribrtn	পরিবর্তন
pribrtner	পরিবর্তনের
pricalit	পরিচালিত
pricalk	পরিচালক
pricalna	পরিচালনা
pricit	পরিচিত অপরিচিত
priciti	পরিচিতি
pricn	পরিচ্ছন্ন
pricy	পরিচয়
pricyptr	পরিচয়পত্র
pridan	পরিধান
prider	পরীদের
pridrsk	পরিদর্শক
pridrsn	পরিদর্শন
priharj	অপরিহার্য
prihas	পরিহাস
prihit	পরিহিত
prij	ফ্রিজ
prije	ফ্রিজে
prijer	ফ্রিজের
priklpit	পরিকল্পিত
priklpna	পরিকল্পনা
priklpnar	পরিকল্পনার
priklpnata	পরিকল্পনাটা
priklpnay	পরিকল্পনায়
priksa	পরীক্ষা পরিক্ষা
priksamulk	পরীক্ষামূলক
priksar	পরীক্ষার
priksay	পরীক্ষায়
priman	পরিমাণ পরিমান
primane	পরিমাণে পরিমানে
primiyar	প্রিমিয়ার
prinam	পরিণাম
prins	প্রিন্স
prinses	প্রিন্সেস
prinsipal	প্রিন্সিপাল
print	পরিণত পরিনত প্রিন্ট
printi	পরিণতি
pripurn	পরিপূর্ণ
prir	পরীর
prisd	পরিশোধ
prisese	পরিশেষে
priskar	পরিষ্কার পরিস্কার
priskarbabe	পরিষ্কারভাবে
priskarer	পরিষ্কারের
prisrm	পরিশ্রম
prisrmer	পরিশ্রমের
prist	পৃষ্ঠ
prista	পৃষ্ঠা
pristay	পৃষ্ঠায়
pristiti	পরিস্থিতি
pristitir	পরিস্থিতির
pristitite	পরিস্থিতিতে
pristn	প্রিস্টন
pritibi	পৃথিবী
pritibike	পৃথিবীকে
pritibir	পৃথিবীর
pritibita	পৃথিবীটা
pritibite	পৃথিবীতে
pritjag	পরিত্যাগ
pritjakt	পরিত্যাক্ত
pritjkt	পরিত্যক্ত
pritk	পৃথক
pritran	পরিত্রাণ
pritraner	পরিত্রাণের
priy	প্রিয়
priya	প্রিয়া
priye	পরিয়ে
priytm	প্রিয়তম
priytma	প্রিয়তমা
prj	প্রযোজ্য
prjajiyar	ফ্র্যাজিয়ার
prjaktis	প্র্যাকটিস
prjangk	ফ্র্যাঙ্ক
prjangki	ফ্র্যাঙ্কি
prjapt	পর্যাপ্ত
prjapti	প্রজাপতি
prjati	প্রজাতি
prjatir	প্রজাতির
prjaye	পর্যায়ে
prjayer	পর্যায়ের
prjbeksn	পর্যবেক্ষণ পর্যবেক্ষন
prjeksn	প্রজেকশন
prjekt	প্রজেক্ট প্রোজেক্ট
prjnm	প্রজন্ম
prjnmer	প্রজন্মের
prjnt	পর্যন্ত
prjnti	পর্যন্তই
prjtk	পর্যটক
prjukti	প্রযুক্তি
prjuktir	প্রযুক্তির
prkar	প্রকার
prkarer	প্রকারের
prkas	প্রকাশ
prkaser	প্রকাশের
prkasit	প্রকাশিত
prke	অপরকে
prklp	প্রকল্প
prkrit	প্রকৃত
prkriti	প্রকৃতি
prkritir	প্রকৃতির
prkritpkse	প্রকৃতপক্ষে
prkriya	প্রক্রিয়া
prkusl	প্রকৌশল
prkusli	প্রকৌশলী
prl	পড়লো পড়ল
prlam	পড়লাম পরলাম
prle	পড়লে পরলে
prlubd	প্রলুব্ধ
prm	পরম ফর্ম
prman	প্রমাণ প্রমান
prmaner	প্রমাণের
prmanit	প্রমাণিত প্রমানিত
prmanu	পরমাণু
prme	প্রমে
prmij	প্রমিজ
prmjan	ফোরম্যান
prmsn	প্রমোশন
prmula	ফর্মুলা
prpail	প্রোফাইল
prpesnal	প্রফেশনাল
prpesr	প্রফেসর
prpj	প্রপোজ
prpri	পরপরই
prs	ফোর্স
prsab	প্রসাব
prsant	প্রশান্ত
prsarit	প্রসারিত
prser	ফোর্সের
prset	প্রসেট
prsikiutr	প্রসিকিউটর
prsiksit	প্রশিক্ষিত
prsiksn	প্রশিক্ষণ প্রশিক্ষন
prsn	প্রশ্ন
prsner	প্রশ্নের
prsngsa	প্রশংসা
prsngul	প্রশ্নগুলো
prsni	প্রশ্নই
prsnta	প্রশ্নটা
prspr	পরস্পর
prsrab	প্রস্রাব
prst	প্রস্তত ফ্রস্ট
prstab	প্রস্তাব
prstabta	প্রস্তাবটা
prstan	প্রস্থান
prsti	প্রস্ততি
prstut	প্রস্তুত
prstuti	প্রস্তুতি
prt	পড়ত পড়তো পোর্ট ফোর্ট
prta	প্রথা
prtal	পোর্টাল
prtam	পড়তাম পরতাম
prtarit	প্রতারিত
prtark	প্রতারক
prtarna	প্রতারণা প্রতারনা
prtarnar	প্রতারণার
prte	পড়তে পরতে
prti	প্রতি
prtiba	প্রতিভা
prtibaban	প্রতিভাবান
prtibad	প্রতিবাদ
prtibar	প্রতিবার
prtibari	প্রতিবারই
prtibasmpn	প্রতিভাসম্পন্ন
prtibedn	প্রতিবেদন
prtibedne	প্রতিবেদনে
prtibesi	প্রতিবেশী
prtibesider	প্রতিবেশীদের
prtibndi	প্রতিবন্ধী
prticbi	প্রতিচ্ছবি
prtidan	প্রতিদান
prtidbndbi	প্রতিদ্বন্দ্বী
prtidbndbita	প্রতিদ্বন্দ্বিতা
prtidin	প্রতিদিন
prtidiner	প্রতিদিনের
prtidini	প্রতিদিনই
prtihingsa	প্রতিহিংসা
prtiht	প্রতিহত
prtijgi	প্রতিযোগী
prtijgita	প্রতিযোগিতা
prtijgitar	প্রতিযোগিতার
prtijgitay	প্রতিযোগিতায়
prtijna	প্রতিজ্ঞা
prtik	প্রতীক
prtikar	প্রতিকার
prtikriya	প্রতিক্রিয়া
prtinidi	প্রতিনিধি
prtiniditb	প্রতিনিধিত্ব
prtiniyt	প্রতিনিয়ত
prtipln	প্রতিফলন
prtird	প্রতিরোধ
prtirder	প্রতিরোধের
prtirdj	অপ্রতিরোধ্য
prtirksa	প্রতিরক্ষা
prtisd	প্রতিশোধ
prtisder	প্রতিশোধের
prtisedk	প্রতিষেধক
prtisruti	প্রতিশ্রুতি
prtista	প্রতিষ্ঠা
prtistan	প্রতিষ্ঠান
prtistane	প্রতিষ্ঠানে
prtistaner	প্রতিষ্ঠানের
prtistapn	প্রতিস্থাপন
prtistit	প্রতিষ্ঠিত
prtita	প্রতিটা
prtiti	প্রতিটি
prtjabrtn	প্রত্যাবর্তন
prtjahar	প্রত্যাহার
prtjakjan	প্রত্যাখ্যান
prtjasa	প্রত্যাশা
prtjasit	অপ্রত্যাশিত
prtjek	প্রত্যেক
prtjekbar	প্রত্যেকবার
prtjekdin	প্রত্যেকদিন
prtjeke	প্রত্যেকে প্রত্যেককে
prtjekei	প্রত্যেকেই
prtjeker	প্রত্যেকের
prtjekeri	প্রত্যেকেরই
prtjekta	প্রত্যেকটা
prtjekti	প্রত্যেকটি
prtjksdrsi	প্রত্যক্ষদর্শী
prtkl	প্রোটোকল
prtm	প্রথম
prtmbar	প্রথমবার
prtmbarer	প্রথমবারের
prtme	প্রথমে
prtmei	প্রথমেই
prtmt	প্রথমত
pruk	পড়ুক
prun	পড়ুন পরুন
prya	পরোয়া পরওয়া
pryg	প্রয়োগ
pryjn	প্রয়োজন
pryjne	প্রয়োজনে
pryjner	প্রয়োজনের
pryjniy	প্রয়োজনীয় অপ্রয়োজনীয়
psa	পোষা
psak	পোশাক পোষাক
psake	পোশাকে
psaker	পোশাকের
psakta	পোশাকটা
pscim	পশ্চিম
pscima	পশ্চিমা
pscime	পশ্চিমে
pscimer	পশ্চিমের
pseidner	পসেইডনের
pske	ফসকে
psl	ফসল
psn	অপশন পোষণ
pst	পোস্ট পোষ্ট
pstar	পোস্টার ফস্টার
psu	পশু
psuder	পশুদের
psupaki	পশুপাখি
psur	পশুর
psusabk	পশুশাবক
pt	পথ ফটো
pta	পথটা ফোটা ফোঁটা
ptaka	পতাকা
ptanr	পটানোর
ptar	পটার
ptarer	পটারের
ptarke	পটারকে
ptate	পটাতে
ptbumi	পটভূমি
pte	পথে
ptei	পথেই
pter	পথের
ptgrapar	ফটোগ্রাফার
pti	পথই
ptik	পথিক
ptimdje	পথিমধ্যে
ptit	পতিত
ptn	পতন
ptr	পত্র
ptrika	পত্রিকা
ptrikar	পত্রিকার
ptrikay	পত্রিকায়
pu	ফু ফুঁ
pucabe	পৌঁছাবে
pucan	পৌঁছানো
pucanr	পৌঁছানোর পৌছানোর
pucate	পৌঁছাতে পৌছাতে
pucay	পৌছায়
puce	পৌঁছে পৌছে
pucece	পৌঁছেছে
pucecen	পৌঁছেছেন
puceci	পৌঁছেছি
pucke	পুঁচকে
pucte	পৌছতে পৌঁছতে
pud	ফুড
puj	ফৌজ
puja	পুজা পূজা
pujar	পূজার
pul	ফুল পুল
pular	ফুলার
pule	ফুলে পুলে
puler	ফুলের
pulgul	ফুলগুলো
pulis	পুলিশ পুলিস
pulisder	পুলিশদের
pulise	পুলিশে
puliser	পুলিশের
puliske	পুলিশকে
pulisra	পুলিশরা
pumba	পুমবা
punprcln	পুনঃপ্রচলন
punrabriti	পুনরাবৃত্তি
punray	পুনরায়
punrudar	পুনরুদ্ধার
pupa	ফুফা
pupi	ফুফি
pupu	ফুফু
pur	পুরো
pura	পুরা
purai	পুরাই
puran	পুরানো পুরান
puranik	পৌরাণিক
puratn	পুরাতন
purb	পূর্ব অপূর্ব
purbe	পূর্বে
purbei	পূর্বেই
purber	পূর্বের
purbpurus	পূর্বপুরুষ
pure	পুড়ে পুরে
purhit	পুরোহিত
puri	পুরোই
puriye	পুড়িয়ে ফুরিয়ে
purn	পুরনো পূর্ণ পূরণ পুরোনো পূরন পূর্ন পুরন
purpuri	পুরোপুরি
purskar	পুরষ্কার পুরস্কার
purta	পুরোটা
purtai	পুরোটাই
purti	ফুর্তি
puru	পুরু
purus	পুরুষ
purusder	পুরুষদের
puruser	পুরুষের
pus	পুস পুশ
pusa	ফুসা
pusp	পুষ্প
puspus	ফুসফুস
put	ফুট পুত ফুটো
putbe	ফুটবে
putbl	ফুটবল
pute	ফুটে পুতে পুঁতে
putej	ফুটেজ
putr	পুত্র
putrer	পুত্রের
putul	পুতুল
putuler	পুতুলের
putulta	পুতুলটা
puyel	ফুয়েল
pyda	পয়দা
pyent	পয়েন্ট
pysa	পয়সা পয়সাও
pysala	ফয়সালা
pysar	পয়সার
r	ওর র
ra	ওরা রা ওরাও রাও
rabar	রাবার
radagast	রাডাগাস্ট
radar	রাডার
radte	রাঁধতে
rag	রাগ
raganbit	রাগান্বিত
rager	রাগের
ragi	রাগী
rahul	রাহুল
rai	ওরাই
raidar	রাইডার
raipel	রাইফেল
rait	রাইট
raj	রাজ্য রাজ
raja	রাজা
rajake	রাজাকে
rajar	রাজার
rajdani	রাজধানী
rajdanir	রাজধানীর
rajdanite	রাজধানীতে
raje	রাজ্যে
rajer	রাজ্যের
raji	রাজি রাজী
rajkiy	রাজকীয়
rajknja	রাজকন্যা
rajknjake	রাজকন্যাকে
rajknjar	রাজকন্যার
rajkumar	রাজকুমার
rajkumarer	রাজকুমারের
rajkumari	রাজকুমারী
rajkumarir	রাজকুমারীর
rajkumarke	রাজকুমারকে
rajniti	রাজনীতি
rajnitibid	রাজনীতিবিদ
rajnitik	রাজনৈতিক
rajnitir	রাজনীতির
rajputr	রাজপুত্র
rajsahi	রাজশাহী
rajtb	রাজত্ব
rak	রাখো রাখ
raka	রাখা
rakai	রাখাই
rakar	রাখার
rakb	রাখবো রাখব
rakbe	রাখবে
rakben	রাখবেন
rakc	রাখছো রাখছ
rakce	রাখছে
rakci	রাখছি
rakcilam	রাখছিলাম
rake	রাখে
raken	রাখেন
raki	রাখি
rakib	রাকিব
rakis	রাখিস
rakl	ওরাকল রাখলো
raklam	রাখলাম
rakle	রাখলে
raks	রাক্ষস
rakt	রাখতো
raktam	রাখতাম
rakte	রাখতে
rakun	রাখুন
ram	রাম
ramana	রামানা
ramcagl	রামছাগল
rames	রামেস
ran	রান
rana	রান্না রানা
ranagr	রান্নাঘর
ranagre	রান্নাঘরে
ranar	রানার রান্নার
rani	রানী রাণী
ranike	রানীকে
ranir	রাণীর রানীর
rap	রাফ
rapayel	রাফায়েল
rar	ওড়ার
rasaynik	রাসায়নিক
rasiya	রাশিয়া
rasiyan	রাশিয়ান
rasiyar	রাশিয়ার
rasta	রাস্তা
rastai	রাস্তাই
rastar	রাস্তার
rastata	রাস্তাটা
rastay	রাস্তায়
rastr	রাষ্ট্র
rastrer	রাষ্ট্রের
rastriy	রাষ্ট্রীয়
rastrpti	রাষ্ট্রপতি
rat	রাত
rata	রাতটা
ratarati	রাতারাতি
rate	রাতে
ratei	রাতেই
rater	রাতের
ratre	রাত্রে
ratri	রাত্রি
raul	রাউল
raund	রাউন্ড
ray	রায়
rayan	রায়ান
rb	ওর্ব
rbart	রবার্ট
rbarter	রবার্টের
rbi	রবি
rbibar	রবিবার
rbibarer	রবিবারের
rbt	রোবট
rbter	রোবটের
rc	রোচ
rci	অর্চি
rd	রোড রোদ অর্ধ রড
rdar	অর্ডার
rde	রোদে রোডে
rdek	অর্ধেক
rdekta	অর্ধেকটা
rderik	রোডেরিক
rds	রোডস
re	রে ওরে
rebarend	রেভারেন্ড
rebeka	রেবেকা
red	রেড রেডঃ
redi	রেডি রেডিও
redite	রেডিওতে
rediyesn	রেডিয়েশন
rege	রেগে
rehai	রেহাই
reiben	রেইভেন
reinld	রেইনল্ড
rejalt	রেজাল্ট
rek	রেখো রেখ
reka	রেখা
reke	রেখে
rekec	রেখেছ রেখেছো
rekece	রেখেছে
rekecen	রেখেছেন
rekeci	রেখেছি
rekecil	রেখেছিল রেখেছিলো
rekecilam	রেখেছিলাম
rekecile	রেখেছিলে
rekecilen	রেখেছিলেন
rekecis	রেখেছিস
rekei	রেখেই
rekrd	রেকর্ড
rekrder	রেকর্ডের
rekrding	রেকর্ডিং
reks	রেক্স
rel	রেল
remas	রেমাস
remi	রেমী
ren	রেন
renj	রেঞ্জ
renjar	রেঞ্জার
repika	রেফিকা
res	রেস
resing	রেসিং
resipi	রেসিপি
restra	রেস্তোরাঁ
restrar	রেস্তোরাঁর
restray	রেস্তোরাঁয়
resturent	রেস্টুরেন্ট
resturente	রেস্টুরেন্টে
ret	রেট
reting	রেটিং
rg	রোগ
rge	রোগে
rger	রোগের
rgi	রোগী
rgider	রোগীদের
rgike	রোগীকে
rgir	রোগীর
rgl	অর্গল
rgta	রোগটা
rhm	রহম
rhman	রহমান
rhmt	রহমত
rhsj	রহস্য
rhsjer	রহস্যের
rhsjmy	রহস্যময়
ri	রি
ric	রিচ
ricar	রিচার
ricard	রিচার্ড
ricep	রিচেপ
rid	রিড
riding	রিডিং
rij	রিজ
rijarb	রিজার্ভ
rijinal	অরিজিনাল
rik	রিকো রিক
rika	রিকা
rikard	রিকার্ডো
riki	রিকি
rikleti	রিকোলেটি
riktar	রিখটার
ril	রইল রইলো
rilaks	রিলাক্স
rilam	রইলাম
rile	রিলে
rilij	রিলিজ
riljaks	রিল্যাক্স
rima	রিমা
rimt	রিমোট
rin	ঋণ
ring	রিং
rini	ঋণী
riprt	রিপোর্ট
riprtar	রিপোর্টার
riprte	রিপোর্টে
risarc	রিসার্চ
riset	রিসেট
risi	ঋষি
risib	রিসিভ
riti	রীতি
ritiniti	রীতিনীতি
riyel	রিয়েল
riyels	রিয়েলস
rj	রোজ
rjakun	র্যাকুন
rjar	রজার
rjars	রজার্স
rjit	অর্জিত
rjn	অর্জন
rjner	অর্জনের
rjun	অর্জুন
rk	রক অর্ক
rket	রকেট
rki	রকি
rkm	রকম ওরকম
rkmer	রকমের
rkmi	রকমই
rksa	রক্ষা
rksakari	রক্ষাকারী
rksakrta	রক্ষাকর্তা
rksar	রক্ষার
rksen	রক্সেন
rksk	রক্ষক
rkt	রক্ত
rktakt	রক্তাক্ত
rkte	রক্তে
rkter	রক্তের
rktksrn	রক্তক্ষরণ
rktpat	রক্তপাত
rl	রোল
rm	রোম
rman	রোমান
rmanckr	রোমাঞ্চকর
rmanp	রোমানফ
rmans	রোমান্স
rmantik	রোমান্টিক
rme	রোমে
rmer	রোমের
rmili	রমিলি
rmni	রমণী
rn	রন রণ
rna	রওনা
rnan	রোনান
rng	রং রঙ
rnger	রঙের
rni	রনি
rnin	রোনিন
rnjit	রঞ্জিত
rpn	রোপণ
rs	রোস রস
rsal	রসালো
rsayn	রসায়ন
rsi	রশি
rsik	রসিক
rsikta	রসিকতা
rsmi	রশ্মি
rst	রোস্ট
rt	অর্থ
rtat	অর্থাৎ
rte	অর্থে
rtei	অর্থেই
rter	অর্থের
rthin	অর্থহীন
rtn	রত্ন
rtnitik	অর্থনৈতিক
rudi	রুডি
ruke	রুখে
ruks	রুক্ষ
rul	রুল
rum	রুম
rumal	রুমাল
rume	রুমে
rumei	রুমেই
rumer	রুমের
rumta	রুমটা
rup	রূপ রুপ
rupanjel	রুপাঞ্জেল
rupantr	রূপান্তর রুপান্তর
rupantrit	রূপান্তরিত
rupe	রূপে রুপে
rupi	রুপি রুপী
rupkta	রূপকথা
rupktar	রূপকথার
rupsi	রূপসী
rut	রুট
ruti	রুটি
rutin	রুটিন
rye	রয়ে
ryece	রয়েছে
ryecen	রয়েছেন
ryeci	রয়েছি
ryjal	রয়্যাল
s	স শো শ সো সস শশশ শশ
sa	সা
sab	সাব
sabah	সাবাহ
saban	সাবান
sabaner	সাবানের
sabas	শাবাশ সাবাস সাবাশ সাব্বাস
sabdan	সাবধান
sabdane	সাবধানে
sabek	সাবেক
sabjekt	সাবজেক্ট
sabjst	সাব্যস্ত
sabmerin	সাবমেরিন
sabmisib	সাবমিসিভ
sabtaitel	সাবটাইটেল
sabtaitelti	সাবটাইটেলটি
sada	সাদা
sadam	সাদ্দাম
sadarn	অসাধারণ সাধারণ সাধারন অসাধারন
sadarnt	সাধারণত সাধারনত
sadik	সাদিক
sadj	সাধ্য
sadjer	সাধ্যের
sadjmt	সাধ্যমত
sadman	সাদমান
sadna	সাধনা
sadu	সাধু
sadubaba	সাধুবাবা
sagr	সাগর
sagre	সাগরে
sagrer	সাগরের
sahaj	সাহায্য
sahajadi	শাহাজাদি
sahaje	সাহায্যে
sahajer	সাহায্যের
sahajkari	সাহায্যকারী
saheb	সাহেব
saheba	সাহেবা
saheber	সাহেবের
sahriyar	শাহরিয়ার
sahs	সাহস
sahse	সাহসে
sahser	সাহসের
sahsi	সাহসী
sahsikta	সাহসিকতা
saibar	সাইবার
saibrg	সাইবর্গ
said	সাইড
saide	সাইডে
saij	সাইজ
saijer	সাইজের
saikel	সাইকেল
saikl	সাইকল
saimn	সাইমন
sain	সাইন
saipar	সাইফার
sairn	শাইরন
sait	সাইট সাইতো
saja	সাজা সাজাও
sajan	সাজানো
sajanr	সাজানোর
sajate	সাজাতে
sajiye	সাজিয়ে
sajya	সাঁজোয়া
saka	শাখা
saksat	সাক্ষাৎ সাক্ষাত
saksater	সাক্ষাতের
saksi	সাক্ষী সাক্ষি
saksj	সাক্ষ্য
saksr	সাক্ষর
sal	সাল
sala	শালা
salad	সালাদ
salah	সালাহ্
salake	শালাকে
salam	সালাম
salar	শালার
salara	শালারা
salare	শালারে
salay	শালায়
sale	সালে
salehin	সালেহীন
saler	সালের
sali	শালি
salim	সালিম
salin	শাওলিন
sam	অসাম
samajik	সামাজিক
samal	সামাল
samanj	সামান্য
samanta	সামান্থা
samar	সামার
samgri	সামগ্রী
samil	শামিল
samla	সামলাও সামলা
samlaci	সামলাচ্ছি
samlan	সামলানো
samlate	সামলাতে
samle	সামলে
samnasamni	সামনাসামনি
samne	সামনে
samnei	সামনেই
samner	সামনের
samprtik	সাম্প্রতিক
samraj	সাম্রাজ্য
samrajer	সাম্রাজ্যের
samrik	সামরিক
samrtj	সামর্থ্য
samudrik	সামুদ্রিক
san	সান শান শাওন
sandbal	সান্দোভাল
sandbalke	সান্দোভালকে
sangatik	সাংঘাতিক
sangbadik	সাংবাদিক
sangbadikder	সাংবাদিকদের
sanglas	সানগ্লাস
sani	সানি
sant	শান্ত
santa	সান্তা
santbabe	শান্তভাবে
santbna	সান্ত্বনা
santi	শান্তি
santir	শান্তির
santite	শান্তিতে
sap	সাপ সাফ শাপ
saper	সাপের
saplai	সাপ্লাই
saplj	সাফল্য
sapljer	সাফল্যের
saprt	সাপোর্ট
sar	ষাঁড়
sara	সারা সাড়া
saradin	সারাদিন
sarah	সারাহ
sarajibn	সারাজীবন
sarajibner	সারাজীবনের
saraksn	সারাক্ষণ
sararat	সারারাত
sarata	সারাটা
sarbar	সার্ভার
sarbis	সার্ভিস
sarbise	সার্ভিসে
sarbiser	সার্ভিসের
sarc	সার্চ
sare	সাড়ে সারে
sari	সারি শাড়ি
sarir	সারির
saririk	শারীরিক
sarite	সারিতে
sariye	সারিয়ে
sarj	সার্জ
sarjari	সার্জারি
sarjarir	সার্জারির
sarjent	সার্জেন্ট
sarkas	সার্কাস
sarkase	সার্কাসে
sarkaser	সার্কাসের
sarkit	সার্কিট
sarli	শার্লি
sarlk	শার্লক
sarmjan	শারম্যান
sarpraij	সারপ্রাইজ
sart	শার্ট
sarte	সারতে
sartipiket	সার্টিফিকেট
sask	শাসক
sasker	শাসকের
sasn	শাসন
sasti	শাস্তি
sastir	শাস্তির
sat	সাত শাট
sata	সাতটা
satar	সাঁতার সাতার
sate	সাথে সাথেও
satei	সাথেই
sater	সাথের
sati	সাথী
saund	সাউন্ড
saut	সাউথ
sayama	শায়ামা
sayens	সায়েন্স
sayesta	শায়েস্তা
saykb	সায়কভ
sb	সব ওসব
sba	সভা
sbab	স্বভাব
sbababik	স্বাভাবিক অস্বাভাবিক
sbababikbabei	স্বাভাবিকভাবেই
sbaber	স্বভাবের
sbad	স্বাদ
sbader	স্বাদের
sbadin	স্বাধীন
sbadinta	স্বাধীনতা
sbadintar	স্বাধীনতার
sbagt	স্বাগত
sbagtm	স্বাগতম
sbai	সবাই
sbaike	সবাইকে
sbaikei	সবাইকেই
sbaksr	স্বাক্ষর
sbami	স্বামী
sbamike	স্বামীকে
sbamir	স্বামীর
sbar	সবার শোবার
sbarhi	অশ্বারোহী
sbari	সবারই
sbart	স্বার্থ
sbarte	স্বার্থে
sbartpr	স্বার্থপর
sbas	শ্বাস
sbastj	স্বাস্থ্য
sbastjer	স্বাস্থ্যের
sbay	সভায়
sbc	স্বচ্ছ
sbcaite	সবচাইতে
sbce	সবচে
sbceye	সবচেয়ে
sbd	শব্দ শব্দও
sbde	শব্দে
sbder	শব্দের
sbdgul	শব্দগুলো
sbdik	সবদিক
sbdta	শব্দটা
sbdti	শব্দটি
sbe	সবে
sbecay	স্বেচ্ছায়
sber	ওসবের
sbet	শ্বেত
sbgul	সবগুলো
sbguli	সবগুলোই
sbgulr	সবগুলোর
sbi	সবই
sbikar	স্বীকার অস্বীকার
sbikarkti	স্বীকারোক্তি
sbikriti	স্বীকৃতি
sbiyet	সোভিয়েত
sbj	অসভ্য সভ্য
sbjanta	সবজান্তা
sbjaygay	সবজায়গায়
sbji	সবজি
sbjta	সভ্যতা
sbjtar	সভ্যতার
sbkane	সবখানে
sbkanei	সবখানেই
sbkicu	সবকিছু
sbkicui	সবকিছুই
sbkicur	সবকিছুর
sbkicutei	সবকিছুতেই
sblp	স্বল্প
sbpn	স্বপ্ন
sbpne	স্বপ্নে
sbpner	স্বপ্নের
sbr	স্বর
sbrastr	স্বরাষ্ট্র
sbre	স্বরে
sbrg	স্বর্গ
sbrge	স্বর্গে
sbrger	স্বর্গের
sbrgiy	স্বর্গীয়
sbrkm	সবরকম
sbrn	স্বর্ণ
sbrner	স্বর্ণের
sbrup	স্বরূপ
sbsese	সবশেষে
sbsmy	সবসময়
sbsmyei	সবসময়েই
sbsmyer	সবসময়ের
sbsmyi	সবসময়ই
sbsti	অস্বস্তি স্বস্তি
sbstikr	অস্বস্তিকর
sbsur	শ্বশুর
sbta	সবটা
sbtai	সবটাই
sbteke	সবথেকে
sbtuku	সবটুকু
sbuj	সবুজ
sbyng	স্বয়ং
scetn	সচেতন
scib	সচিব
scin	শচীন
scl	সচল
scracr	সচরাচর
sd	শোধ
sda	সোডা সওদা সদা
sdj	সদ্য
sdr	সদর
sdsj	সদস্য
sdsjder	সদস্যদের
sdy	সদয়
se	সে সেও শে
seb	শেভ
seba	সেবা
sebabe	সেভাবে
sebabei	সেভাবেই
